
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      3,816 K
Registry                       128 Services                   0     65,864 K
smss.exe                       536 Services                   0      1,580 K
csrss.exe                      736 Services                   0      7,500 K
wininit.exe                    824 Services                   0      9,388 K
csrss.exe                      832 Console                    1      7,608 K
services.exe                   900 Services                   0     11,660 K
lsass.exe                      920 Services                   0     28,096 K
winlogon.exe                   976 Console                    1     14,640 K
svchost.exe                    516 Services                   0     35,028 K
fontdrvhost.exe                564 Services                   0      4,916 K
fontdrvhost.exe               1028 Console                    1      5,744 K
WUDFHost.exe                  1064 Services                   0     20,164 K
svchost.exe                   1156 Services                   0     16,312 K
svchost.exe                   1212 Services                   0     11,612 K
WUDFHost.exe                  1264 Services                   0     11,320 K
dwm.exe                       1364 Console                    1    168,592 K
svchost.exe                   1416 Services                   0      6,984 K
svchost.exe                   1436 Services                   0      9,788 K
svchost.exe                   1500 Services                   0     15,172 K
svchost.exe                   1516 Services                   0     13,868 K
svchost.exe                   1620 Services                   0     16,496 K
IntelCpHDCPSvc.exe            1628 Services                   0      8,004 K
svchost.exe                   1648 Services                   0      7,488 K
svchost.exe                   1664 Services                   0     14,116 K
svchost.exe                   1704 Services                   0      9,920 K
svchost.exe                   1716 Services                   0      8,048 K
svchost.exe                   1824 Services                   0     19,620 K
svchost.exe                   1856 Services                   0     12,728 K
svchost.exe                   1352 Services                   0     23,376 K
svchost.exe                   2060 Services                   0     11,100 K
svchost.exe                   2096 Services                   0     18,324 K
svchost.exe                   2112 Services                   0      7,564 K
svchost.exe                   2124 Services                   0     10,400 K
Memory Compression            2220 Services                   0          N/A
svchost.exe                   2272 Services                   0      9,040 K
svchost.exe                   2304 Services                   0     10,804 K
svchost.exe                   2404 Services                   0     10,456 K
svchost.exe                   2416 Services                   0     10,552 K
svchost.exe                   2428 Services                   0      9,664 K
svchost.exe                   2588 Services                   0     10,040 K
svchost.exe                   2600 Services                   0     12,260 K
svchost.exe                   2668 Services                   0      9,064 K
svchost.exe                   2676 Services                   0     10,568 K
svchost.exe                   2780 Services                   0      8,580 K
svchost.exe                   2792 Services                   0     13,120 K
svchost.exe                   3020 Services                   0     24,596 K
svchost.exe                   3068 Services                   0     18,484 K
spoolsv.exe                   2652 Services                   0     20,268 K
svchost.exe                   2924 Services                   0     29,960 K
svchost.exe                   3104 Services                   0     10,048 K
svchost.exe                   3144 Services                   0     11,148 K
svchost.exe                   3296 Services                   0     23,784 K
wlanext.exe                   3536 Services                   0     14,220 K
Intel_PIE_Service.exe         3612 Services                   0     11,916 K
AnyDesk.exe                   3668 Services                   0     45,524 K
svchost.exe                   3676 Services                   0     17,396 K
OfficeClickToRun.exe          3692 Services                   0     47,084 K
svchost.exe                   3704 Services                   0     58,644 K
svchost.exe                   3712 Services                   0     16,480 K
ipfsvc.exe                    3736 Services                   0      7,276 K
OneApp.IGCC.WinService.ex     3784 Services                   0     44,184 K
IntelAudioService.exe         3844 Services                   0     49,944 K
svchost.exe                   3880 Services                   0     14,496 K
jhi_service.exe               3964 Services                   0      8,452 K
svchost.exe                   4004 Services                   0     11,640 K
svchost.exe                   4024 Services                   0     26,100 K
svchost.exe                   4056 Services                   0      7,260 K
MpDefenderCoreService.exe     4088 Services                   0     24,276 K
MsMpEng.exe                   2876 Services                   0    262,248 K
svchost.exe                   3356 Services                   0     20,840 K
svchost.exe                   3132 Services                   0     26,584 K
WMIRegistrationService.ex     4144 Services                   0     14,992 K
ipf_uf.exe                    4196 Services                   0      8,248 K
AggregatorHost.exe            5740 Services                   0     11,484 K
svchost.exe                   5928 Services                   0      8,256 K
svchost.exe                   5960 Services                   0     10,724 K
NisSrv.exe                    5296 Services                   0     14,372 K
svchost.exe                   5716 Services                   0     28,052 K
svchost.exe                   5876 Services                   0     10,096 K
svchost.exe                   4344 Services                   0     24,228 K
svchost.exe                   3352 Services                   0     21,172 K
svchost.exe                   5264 Services                   0     12,400 K
svchost.exe                   4808 Services                   0     12,512 K
svchost.exe                   1092 Services                   0     13,280 K
